year,domain,category,state,factor,n
2011,economic,parents without full-time employment,Idaho,pct,31
2012,economic,parents without full-time employment,Idaho,pct,28
2008,economic,parents without full-time employment,Idaho,rank,17
2009,economic,parents without full-time employment,Idaho,rank,19
2010,economic,parents without full-time employment,Idaho,rank,19
2011,economic,parents without full-time employment,Idaho,rank,22
2012,economic,parents without full-time employment,Idaho,rank,13
2008,economic,teens not attending school,Idaho,count,8000
2009,economic,teens not attending school,Idaho,count,9000
2010,economic,teens not attending school,Idaho,count,10000
2011,economic,teens not attending school,Idaho,count,8000
2012,economic,teens not attending school,Idaho,count,8000
2008,economic,teens not attending school,Idaho,pct,8
2009,economic,teens not attending school,Idaho,pct,9
2010,economic,teens not attending school,Idaho,pct,11
2011,economic,teens not attending school,Idaho,pct,9
2012,economic,teens not attending school,Idaho,pct,9
2008,economic,teens not attending school,Idaho,rank,21
2009,economic,teens not attending school,Idaho,rank,23
2010,economic,teens not attending school,Idaho,rank,38
2011,economic,teens not attending school,Idaho,rank,28
2012,economic,teens not attending school,Idaho,rank,30
2008,economic,spend >30% on housing,Illinois,count,1313000
2009,economic,spend >30% on housing,Illinois,count,1310000
2010,economic,spend >30% on housing,Illinois,count,1313000
2011,economic,spend >30% on housing,Illinois,count,1285000
2012,economic,spend >30% on housing,Illinois,count,1160000
2008,economic,spend >30% on housing,Illinois,pct,41
2009,economic,spend >30% on housing,Illinois,pct,41
2010,economic,spend >30% on housing,Illinois,pct,42
2011,economic,spend >30% on housing,Illinois,pct,42
2012,economic,spend >30% on housing,Illinois,pct,38
2008,economic,spend >30% on housing,Illinois,rank,37
2009,economic,spend >30% on housing,Illinois,rank,36
2010,economic,spend >30% on housing,Illinois,rank,38
2011,economic,spend >30% on housing,Illinois,rank,41
2012,economic,spend >30% on housing,Illinois,rank,37
2008,economic,children in poverty,Illinois,count,535000
2009,economic,children in poverty,Illinois,count,591000
2010,economic,children in poverty,Illinois,count,600000
2011,economic,children in poverty,Illinois,count,658000
2012,economic,children in poverty,Illinois,count,624000
2008,economic,children in poverty,Illinois,pct,17
2009,economic,children in poverty,Illinois,pct,19
2010,economic,children in poverty,Illinois,pct,19
2011,economic,children in poverty,Illinois,pct,22
2012,economic,children in poverty,Illinois,pct,21
2008,economic,children in poverty,Illinois,rank,25
2009,economic,children in poverty,Illinois,rank,26
2010,economic,children in poverty,Illinois,rank,22
2011,economic,children in poverty,Illinois,rank,26
2012,economic,children in poverty,Illinois,rank,25
2008,economic,parents without full-time employment,Illinois,count,836000
2009,economic,parents without full-time employment,Illinois,count,971000
2010,economic,parents without full-time employment,Illinois,count,986000
2011,economic,parents without full-time employment,Illinois,count,975000
2012,economic,parents without full-time employment,Illinois,count,901000
2008,economic,parents without full-time employment,Illinois,pct,26
2009,economic,parents without full-time employment,Illinois,pct,31
2010,economic,parents without full-time employment,Illinois,pct,32
2011,economic,parents without full-time employment,Illinois,pct,31
2012,economic,parents without full-time employment,Illinois,pct,29
2008,economic,parents without full-time employment,Illinois,rank,17
2009,economic,parents without full-time employment,Illinois,rank,25
2010,economic,parents without full-time employment,Illinois,rank,26
2011,economic,parents without full-time employment,Illinois,rank,22
2012,economic,parents without full-time employment,Illinois,rank,18
2008,economic,teens not attending school,Illinois,count,58000
2009,economic,teens not attending school,Illinois,count,66000
2010,economic,teens not attending school,Illinois,count,59000
2011,economic,teens not attending school,Illinois,count,61000
2012,economic,teens not attending school,Illinois,count,50000
2008,economic,teens not attending school,Illinois,pct,7
2009,economic,teens not attending school,Illinois,pct,9
2010,economic,teens not attending school,Illinois,pct,8
2011,economic,teens not attending school,Illinois,pct,8
2012,economic,teens not attending school,Illinois,pct,7
2008,economic,teens not attending school,Illinois,rank,14
2009,economic,teens not attending school,Illinois,rank,23
2010,economic,teens not attending school,Illinois,rank,16
2011,economic,teens not attending school,Illinois,rank,20
2012,economic,teens not attending school,Illinois,rank,13
2008,economic,spend >30% on housing,Indiana,count,
2009,economic,spend >30% on housing,Indiana,count,485000
2010,economic,spend >30% on housing,Indiana,count,494000
2011,economic,spend >30% on housing,Indiana,count,513000
2012,economic,spend >30% on housing,Indiana,count,487000
2008,economic,spend >30% on housing,Indiana,pct,450000
2009,economic,spend >30% on housing,Indiana,pct,31
2010,economic,spend >30% on housing,Indiana,pct,31
2011,economic,spend >30% on housing,Indiana,pct,32
2012,economic,spend >30% on housing,Indiana,pct,31
2008,economic,spend >30% on housing,Indiana,rank,28
2009,economic,spend >30% on housing,Indiana,rank,13
2010,economic,spend >30% on housing,Indiana,rank,10
2011,economic,spend >30% on housing,Indiana,rank,10
2012,economic,spend >30% on housing,Indiana,rank,9
2008,economic,children in poverty,Indiana,count,283000
2009,economic,children in poverty,Indiana,count,311000
2010,economic,children in poverty,Indiana,count,342000
2011,economic,children in poverty,Indiana,count,361000
2012,economic,children in poverty,Indiana,count,350000
2008,economic,children in poverty,Indiana,pct,18
2009,economic,children in poverty,Indiana,pct,20
2010,economic,children in poverty,Indiana,pct,22
2011,economic,children in poverty,Indiana,pct,23
2012,economic,children in poverty,Indiana,pct,22
2008,economic,children in poverty,Indiana,rank,27
2009,economic,children in poverty,Indiana,rank,29
2010,economic,children in poverty,Indiana,rank,30
2011,economic,children in poverty,Indiana,rank,30
2012,economic,children in poverty,Indiana,rank,28
2008,economic,parents without full-time employment,Indiana,count,438000
2009,economic,parents without full-time employment,Indiana,count,511000
2010,economic,parents without full-time employment,Indiana,count,536000
2011,economic,parents without full-time employment,Indiana,count,527000
2012,economic,parents without full-time employment,Indiana,count,474000
2008,economic,parents without full-time employment,Indiana,pct,28
2009,economic,parents without full-time employment,Indiana,pct,32
2010,economic,parents without full-time employment,Indiana,pct,33
2011,economic,parents without full-time employment,Indiana,pct,33
2012,economic,parents without full-time employment,Indiana,pct,30
2008,economic,parents without full-time employment,Indiana,rank,26
2009,economic,parents without full-time employment,Indiana,rank,30
2010,economic,parents without full-time employment,Indiana,rank,29
2011,economic,parents without full-time employment,Indiana,rank,28
2012,economic,parents without full-time employment,Indiana,rank,20
2008,economic,teens not attending school,Indiana,count,28000
2009,economic,teens not attending school,Indiana,count,33000
2010,economic,teens not attending school,Indiana,count,31000
2011,economic,teens not attending school,Indiana,count,33000
2012,economic,teens not attending school,Indiana,count,28000
2008,economic,teens not attending school,Indiana,pct,8
2009,economic,teens not attending school,Indiana,pct,9
2010,economic,teens not attending school,Indiana,pct,8
2011,economic,teens not attending school,Indiana,pct,9
2012,economic,teens not attending school,Indiana,pct,8
2008,economic,teens not attending school,Indiana,rank,21
2009,economic,teens not attending school,Indiana,rank,23
2010,economic,teens not attending school,Indiana,rank,16
2011,economic,teens not attending school,Indiana,rank,28
2012,economic,teens not attending school,Indiana,rank,19
2008,economic,spend >30% on housing,Iowa,count,176000
2009,economic,spend >30% on housing,Iowa,count,177000
2010,economic,spend >30% on housing,Iowa,count,193000
2011,economic,spend >30% on housing,Iowa,count,185000
2012,economic,spend >30% on housing,Iowa,count,168000
2008,economic,spend >30% on housing,Iowa,pct,25
2009,economic,spend >30% on housing,Iowa,pct,25
2010,economic,spend >30% on housing,Iowa,pct,27
2011,economic,spend >30% on housing,Iowa,pct,26
2012,economic,spend >30% on housing,Iowa,pct,23
2008,economic,spend >30% on housing,Iowa,rank,3
2009,economic,spend >30% on housing,Iowa,rank,4
2010,economic,spend >30% on housing,Iowa,rank,4
2011,economic,spend >30% on housing,Iowa,rank,3
2012,economic,spend >30% on housing,Iowa,rank,3
2008,economic,children in poverty,Iowa,count,101000
2009,economic,children in poverty,Iowa,count,109000
2010,economic,children in poverty,Iowa,count,115000
2011,economic,children in poverty,Iowa,count,123000
2012,economic,children in poverty,Iowa,count,113000
2008,economic,children in poverty,Iowa,pct,14
2009,economic,children in poverty,Iowa,pct,16
2010,economic,children in poverty,Iowa,pct,16
2011,economic,children in poverty,Iowa,pct,17
2012,economic,children in poverty,Iowa,pct,16
2008,economic,children in poverty,Iowa,rank,14
2009,economic,children in poverty,Iowa,rank,15
2010,economic,children in poverty,Iowa,rank,11
2011,economic,children in poverty,Iowa,rank,13
2012,economic,children in poverty,Iowa,rank,11
2008,economic,parents without full-time employment,Iowa,count,151000
2009,economic,parents without full-time employment,Iowa,count,157000
2010,economic,parents without full-time employment,Iowa,count,182000
2011,economic,parents without full-time employment,Iowa,count,176000
2012,economic,parents without full-time employment,Iowa,count,167000
2008,economic,parents without full-time employment,Iowa,pct,21
2009,economic,parents without full-time employment,Iowa,pct,22
2010,economic,parents without full-time employment,Iowa,pct,25
2011,economic,parents without full-time employment,Iowa,pct,24
2012,economic,parents without full-time employment,Iowa,pct,23
2008,economic,parents without full-time employment,Iowa,rank,4
2009,economic,parents without full-time employment,Iowa,rank,2
2010,economic,parents without full-time employment,Iowa,rank,6
2011,economic,parents without full-time employment,Iowa,rank,3
2012,economic,parents without full-time employment,Iowa,rank,3
2008,economic,teens not attending school,Iowa,count,8000
2009,economic,teens not attending school,Iowa,count,10000
2010,economic,teens not attending school,Iowa,count,11000
2011,economic,teens not attending school,Iowa,count,11000
2012,economic,teens not attending school,Iowa,count,9000
2008,economic,teens not attending school,Iowa,pct,4
2009,economic,teens not attending school,Iowa,pct,6
2010,economic,teens not attending school,Iowa,pct,6
2011,economic,teens not attending school,Iowa,pct,6
2012,economic,teens not attending school,Iowa,pct,5
2008,economic,teens not attending school,Iowa,rank,1
2009,economic,teens not attending school,Iowa,rank,2
2010,economic,teens not attending school,Iowa,rank,8
2011,economic,teens not attending school,Iowa,rank,6
2012,economic,teens not attending school,Iowa,rank,3
2008,economic,spend >30% on housing,Kansas,count,193000
2009,economic,spend >30% on housing,Kansas,count,193000
2010,economic,spend >30% on housing,Kansas,count,217000
2011,economic,spend >30% on housing,Kansas,count,215000
2012,economic,spend >30% on housing,Kansas,count,198000
2008,economic,spend >30% on housing,Kansas,pct,28
2009,economic,spend >30% on housing,Kansas,pct,27
2010,economic,spend >30% on housing,Kansas,pct,30
2011,economic,spend >30% on housing,Kansas,pct,30
2012,economic,spend >30% on housing,Kansas,pct,27
2008,economic,spend >30% on housing,Kansas,rank,7
2009,economic,spend >30% on housing,Kansas,rank,7
2010,economic,spend >30% on housing,Kansas,rank,7
2011,economic,spend >30% on housing,Kansas,rank,7
2012,economic,spend >30% on housing,Kansas,rank,6
2008,economic,children in poverty,Kansas,count,100000
2009,economic,children in poverty,Kansas,count,121000
2010,economic,children in poverty,Kansas,count,131000
2011,economic,children in poverty,Kansas,count,134000
2012,economic,children in poverty,Kansas,count,135000
2008,economic,children in poverty,Kansas,pct,15
2009,economic,children in poverty,Kansas,pct,18
2010,economic,children in poverty,Kansas,pct,18
2011,economic,children in poverty,Kansas,pct,19
2012,economic,children in poverty,Kansas,pct,19
2008,economic,children in poverty,Kansas,rank,18
2009,economic,children in poverty,Kansas,rank,23
2010,economic,children in poverty,Kansas,rank,16
2011,economic,children in poverty,Kansas,rank,21
2012,economic,children in poverty,Kansas,rank,20
2008,economic,parents without full-time employment,Kansas,count,151000
2009,economic,parents without full-time employment,Kansas,count,175000
2010,economic,parents without full-time employment,Kansas,count,199000
2011,economic,parents without full-time employment,Kansas,count,181000
2012,economic,parents without full-time employment,Kansas,count,176000
2008,economic,parents without full-time employment,Kansas,pct,22
2009,economic,parents without full-time employment,Kansas,pct,25
2010,economic,parents without full-time employment,Kansas,pct,27
2011,economic,parents without full-time employment,Kansas,pct,25
2012,economic,parents without full-time employment,Kansas,pct,24
2008,economic,parents without full-time employment,Kansas,rank,7
2009,economic,parents without full-time employment,Kansas,rank,8
2010,economic,parents without full-time employment,Kansas,rank,10
2011,economic,parents without full-time employment,Kansas,rank,7
2012,economic,parents without full-time employment,Kansas,rank,5
2008,economic,teens not attending school,Kansas,count,8000
2009,economic,teens not attending school,Kansas,count,11000
2010,economic,teens not attending school,Kansas,count,10000
2011,economic,teens not attending school,Kansas,count,10000
2012,economic,teens not attending school,Kansas,count,11000
2008,economic,teens not attending school,Kansas,pct,5
2009,economic,teens not attending school,Kansas,pct,7
2010,economic,teens not attending school,Kansas,pct,6
2011,economic,teens not attending school,Kansas,pct,6
2012,economic,teens not attending school,Kansas,pct,7
2008,economic,teens not attending school,Kansas,rank,5
2009,economic,teens not attending school,Kansas,rank,8
2010,economic,teens not attending school,Kansas,rank,8
2011,economic,teens not attending school,Kansas,rank,6
2012,economic,teens not attending school,Kansas,rank,13
2008,economic,spend >30% on housing,Kentucky,count,289000
2009,economic,spend >30% on housing,Kentucky,count,313000
2010,economic,spend >30% on housing,Kentucky,count,327000
2011,economic,spend >30% on housing,Kentucky,count,324000
2012,economic,spend >30% on housing,Kentucky,count,292000
2008,economic,spend >30% on housing,Kentucky,pct,29
2009,economic,spend >30% on housing,Kentucky,pct,31
2010,economic,spend >30% on housing,Kentucky,pct,32
2011,economic,spend >30% on housing,Kentucky,pct,32
2012,economic,spend >30% on housing,Kentucky,pct,29
2008,economic,spend >30% on housing,Kentucky,rank,9
2009,economic,spend >30% on housing,Kentucky,rank,10
2010,economic,spend >30% on housing,Kentucky,rank,10
2011,economic,spend >30% on housing,Kentucky,rank,11
2012,economic,spend >30% on housing,Kentucky,rank,9
2008,economic,children in poverty,Kentucky,count,233000
2009,economic,children in poverty,Kentucky,count,255000
2010,economic,children in poverty,Kentucky,count,263000
2011,economic,children in poverty,Kentucky,count,275000
2012,economic,children in poverty,Kentucky,count,264000
2008,economic,children in poverty,Kentucky,pct,23
2009,economic,children in poverty,Kentucky,pct,26
2010,economic,children in poverty,Kentucky,pct,26
2011,economic,children in poverty,Kentucky,pct,27
2012,economic,children in poverty,Kentucky,pct,27
2008,economic,children in poverty,Kentucky,rank,43
2009,economic,children in poverty,Kentucky,rank,48
2010,economic,children in poverty,Kentucky,rank,42
2011,economic,children in poverty,Kentucky,rank,42
2012,economic,children in poverty,Kentucky,rank,42
2008,economic,parents without full-time employment,Kentucky,count,327000
2009,economic,parents without full-time employment,Kentucky,count,382000
2010,economic,parents without full-time employment,Kentucky,count,375000
2011,economic,parents without full-time employment,Kentucky,count,378000
2012,economic,parents without full-time employment,Kentucky,count,357000
2008,economic,parents without full-time employment,Kentucky,pct,33
2009,economic,parents without full-time employment,Kentucky,pct,38
2010,economic,parents without full-time employment,Kentucky,pct,37
2011,economic,parents without full-time employment,Kentucky,pct,37
2012,economic,parents without full-time employment,Kentucky,pct,35
2008,economic,parents without full-time employment,Kentucky,rank,48
2009,economic,parents without full-time employment,Kentucky,rank,49
2010,economic,parents without full-time employment,Kentucky,rank,43
2011,economic,parents without full-time employment,Kentucky,rank,47
2012,economic,parents without full-time employment,Kentucky,rank,43
2008,economic,teens not attending school,Kentucky,count,24000
2009,economic,teens not attending school,Kentucky,count,24000
2010,economic,teens not attending school,Kentucky,count,27000
2011,economic,teens not attending school,Kentucky,count,18000
2012,economic,teens not attending school,Kentucky,count,21000
2008,economic,teens not attending school,Kentucky,pct,10
2009,economic,teens not attending school,Kentucky,pct,10
2010,economic,teens not attending school,Kentucky,pct,11
2011,economic,teens not attending school,Kentucky,pct,8
2012,economic,teens not attending school,Kentucky,pct,9
2008,economic,teens not attending school,Kentucky,rank,39
2009,economic,teens not attending school,Kentucky,rank,33
2010,economic,teens not attending school,Kentucky,rank,38
2011,economic,teens not attending school,Kentucky,rank,20
2012,economic,teens not attending school,Kentucky,rank,30
2008,economic,spend >30% on housing,Louisiana,count,341000
2009,economic,spend >30% on housing,Louisiana,count,347000
2010,economic,spend >30% on housing,Louisiana,count,358000
2011,economic,spend >30% on housing,Louisiana,count,374000
2012,economic,spend >30% on housing,Louisiana,count,363000
2008,economic,spend >30% on housing,Louisiana,pct,31
2009,economic,spend >30% on housing,Louisiana,pct,31
2010,economic,spend >30% on housing,Louisiana,pct,32
2011,economic,spend >30% on housing,Louisiana,pct,33
2012,economic,spend >30% on housing,Louisiana,pct,32
2008,economic,spend >30% on housing,Louisiana,rank,13
2009,economic,spend >30% on housing,Louisiana,rank,10
2010,economic,spend >30% on housing,Louisiana,rank,10
2011,economic,spend >30% on housing,Louisiana,rank,16
2012,economic,spend >30% on housing,Louisiana,rank,17
2008,economic,children in poverty,Louisiana,count,271000
2009,economic,children in poverty,Louisiana,count,268000
2010,economic,children in poverty,Louisiana,count,300000
2011,economic,children in poverty,Louisiana,count,317000
2012,economic,children in poverty,Louisiana,count,310000
2008,economic,children in poverty,Louisiana,pct,25
2009,economic,children in poverty,Louisiana,pct,24
2010,economic,children in poverty,Louisiana,pct,27
2011,economic,children in poverty,Louisiana,pct,29
2012,economic,children in poverty,Louisiana,pct,28
2008,economic,children in poverty,Louisiana,rank,48
2009,economic,children in poverty,Louisiana,rank,41
2010,economic,children in poverty,Louisiana,rank,46
2011,economic,children in poverty,Louisiana,rank,48
2012,economic,children in poverty,Louisiana,rank,47
2008,economic,parents without full-time employment,Louisiana,count,350000
2009,economic,parents without full-time employment,Louisiana,count,374000
2010,economic,parents without full-time employment,Louisiana,count,404000
2011,economic,parents without full-time employment,Louisiana,count,396000
2012,economic,parents without full-time employment,Louisiana,count,400000
2008,economic,parents without full-time employment,Louisiana,pct,32
2009,economic,parents without full-time employment,Louisiana,pct,33
2010,economic,parents without full-time employment,Louisiana,pct,36
2011,economic,parents without full-time employment,Louisiana,pct,35
2012,economic,parents without full-time employment,Louisiana,pct,36
2008,economic,parents without full-time employment,Louisiana,rank,45
2009,economic,parents without full-time employment,Louisiana,rank,35
2010,economic,parents without full-time employment,Louisiana,rank,38
2011,economic,parents without full-time employment,Louisiana,rank,37
2012,economic,parents without full-time employment,Louisiana,rank,46
2008,economic,teens not attending school,Louisiana,count,29000
2009,economic,teens not attending school,Louisiana,count,30000
2010,economic,teens not attending school,Louisiana,count,37000
2011,economic,teens not attending school,Louisiana,count,31000
2012,economic,teens not attending school,Louisiana,count,28000
2008,economic,teens not attending school,Louisiana,pct,11
2009,economic,teens not attending school,Louisiana,pct,11
2010,economic,teens not attending school,Louisiana,pct,14
2011,economic,teens not attending school,Louisiana,pct,12
2012,economic,teens not attending school,Louisiana,pct,11
2008,economic,teens not attending school,Louisiana,rank,45
2009,economic,teens not attending school,Louisiana,rank,40
2010,economic,teens not attending school,Louisiana,rank,48
2011,economic,teens not attending school,Louisiana,rank,48
2012,economic,teens not attending school,Louisiana,rank,45
2008,economic,spend >30% on housing,Maine,count,105000
2009,economic,spend >30% on housing,Maine,count,103000
2010,economic,spend >30% on housing,Maine,count,91000
2011,economic,spend >30% on housing,Maine,count,104000
2012,economic,spend >30% on housing,Maine,count,96000
2008,economic,spend >30% on housing,Maine,pct,38
2009,economic,spend >30% on housing,Maine,pct,38
2010,economic,spend >30% on housing,Maine,pct,33
2011,economic,spend >30% on housing,Maine,pct,38
2012,economic,spend >30% on housing,Maine,pct,36
2008,economic,spend >30% on housing,Maine,rank,31
2009,economic,spend >30% on housing,Maine,rank,30
2010,economic,spend >30% on housing,Maine,rank,15
2011,economic,spend >30% on housing,Maine,rank,32
2012,economic,spend >30% on housing,Maine,rank,31
2008,economic,children in poverty,Maine,count,42000
2009,economic,children in poverty,Maine,count,45000
2010,economic,children in poverty,Maine,count,48000
2011,economic,children in poverty,Maine,count,50000
2012,economic,children in poverty,Maine,count,54000
2008,economic,children in poverty,Maine,pct,16
2009,economic,children in poverty,Maine,pct,17
2010,economic,children in poverty,Maine,pct,18
2011,economic,children in poverty,Maine,pct,19
2012,economic,children in poverty,Maine,pct,21
2008,economic,children in poverty,Maine,rank,23
2009,economic,children in poverty,Maine,rank,18
2010,economic,children in poverty,Maine,rank,16
2011,economic,children in poverty,Maine,rank,21
2012,economic,children in poverty,Maine,rank,25
2008,economic,parents without full-time employment,Maine,count,79000
2009,economic,parents without full-time employment,Maine,count,85000
2010,economic,parents without full-time employment,Maine,count,92000
2011,economic,parents without full-time employment,Maine,count,88000
2012,economic,parents without full-time employment,Maine,count,88000
2008,economic,parents without full-time employment,Maine,pct,29
2009,economic,parents without full-time employment,Maine,pct,31
2010,economic,parents without full-time employment,Maine,pct,34
2011,economic,parents without full-time employment,Maine,pct,33
2012,economic,parents without full-time employment,Maine,pct,33
2008,economic,parents without full-time employment,Maine,rank,33
2009,economic,parents without full-time employment,Maine,rank,25
2010,economic,parents without full-time employment,Maine,rank,30
2011,economic,parents without full-time employment,Maine,rank,28
2012,economic,parents without full-time employment,Maine,rank,31
2008,economic,teens not attending school,Maine,count,5000
2009,economic,teens not attending school,Maine,count,5000
2010,economic,teens not attending school,Maine,count,5000
2011,economic,teens not attending school,Maine,count,4000
2012,economic,teens not attending school,Maine,count,5000
2008,economic,teens not attending school,Maine,pct,8
2009,economic,teens not attending school,Maine,pct,7
2010,economic,teens not attending school,Maine,pct,7
2011,economic,teens not attending school,Maine,pct,6
2012,economic,teens not attending school,Maine,pct,8
2008,economic,teens not attending school,Maine,rank,21
2009,economic,teens not attending school,Maine,rank,8
2010,economic,teens not attending school,Maine,rank,11
2011,economic,teens not attending school,Maine,rank,6
2012,economic,teens not attending school,Maine,rank,19
2008,economic,spend >30% on housing,Maryland,count,553000
2009,economic,spend >30% on housing,Maryland,count,573000
2010,economic,spend >30% on housing,Maryland,count,566000
2011,economic,spend >30% on housing,Maryland,count,546000
2012,economic,spend >30% on housing,Maryland,count,502000
2008,economic,spend >30% on housing,Maryland,pct,41
2009,economic,spend >30% on housing,Maryland,pct,42
2010,economic,spend >30% on housing,Maryland,pct,42
2011,economic,spend >30% on housing,Maryland,pct,41
2012,economic,spend >30% on housing,Maryland,pct,37
2008,economic,spend >30% on housing,Maryland,rank,37
2009,economic,spend >30% on housing,Maryland,rank,40
2010,economic,spend >30% on housing,Maryland,rank,38
2011,economic,spend >30% on housing,Maryland,rank,37
2012,economic,spend >30% on housing,Maryland,rank,35
2008,economic,children in poverty,Maryland,count,135000
2009,economic,children in poverty,Maryland,count,154000
2010,economic,children in poverty,Maryland,count,173000
2011,economic,children in poverty,Maryland,count,179000
2012,economic,children in poverty,Maryland,count,183000
2008,economic,children in poverty,Maryland,pct,10
2009,economic,children in poverty,Maryland,pct,12
2010,economic,children in poverty,Maryland,pct,13
2011,economic,children in poverty,Maryland,pct,14
2012,economic,children in poverty,Maryland,pct,14
2008,economic,children in poverty,Maryland,rank,2
2009,economic,children in poverty,Maryland,rank,2
2010,economic,children in poverty,Maryland,rank,2
2011,economic,children in poverty,Maryland,rank,2
2012,economic,children in poverty,Maryland,rank,2
2008,economic,parents without full-time employment,Maryland,count,285000
2009,economic,parents without full-time employment,Maryland,count,329000
2010,economic,parents without full-time employment,Maryland,count,357000
2011,economic,parents without full-time employment,Maryland,count,367000
2012,economic,parents without full-time employment,Maryland,count,352000
2008,economic,parents without full-time employment,Maryland,pct,21
2009,economic,parents without full-time employment,Maryland,pct,24
2010,economic,parents without full-time employment,Maryland,pct,26
2011,economic,parents without full-time employment,Maryland,pct,27
2012,economic,parents without full-time employment,Maryland,pct,26
2008,economic,parents without full-time employment,Maryland,rank,4
2009,economic,parents without full-time employment,Maryland,rank,5
2010,economic,parents without full-time employment,Maryland,rank,8
2011,economic,parents without full-time employment,Maryland,rank,11
2012,economic,parents without full-time employment,Maryland,rank,10
2008,economic,teens not attending school,Maryland,count,28000
2009,economic,teens not attending school,Maryland,count,27000
2010,economic,teens not attending school,Maryland,count,28000
2011,economic,teens not attending school,Maryland,count,25000
2012,economic,teens not attending school,Maryland,count,24000
2008,economic,teens not attending school,Maryland,pct,8
2009,economic,teens not attending school,Maryland,pct,8
2010,economic,teens not attending school,Maryland,pct,8
2011,economic,teens not attending school,Maryland,pct,8
2012,economic,teens not attending school,Maryland,pct,8
2008,economic,teens not attending school,Maryland,rank,21
2009,economic,teens not attending school,Maryland,rank,16
2010,economic,teens not attending school,Maryland,rank,16
2011,economic,teens not attending school,Maryland,rank,20
2012,economic,teens not attending school,Maryland,rank,19
2008,economic,spend >30% on housing,Massachusetts,count,598000
2009,economic,spend >30% on housing,Massachusetts,count,577000
2010,economic,spend >30% on housing,Massachusetts,count,556000
2011,economic,spend >30% on housing,Massachusetts,count,570000
2012,economic,spend >30% on housing,Massachusetts,count,507000
2008,economic,spend >30% on housing,Massachusetts,pct,42
2009,economic,spend >30% on housing,Massachusetts,pct,40
2010,economic,spend >30% on housing,Massachusetts,pct,39
2011,economic,spend >30% on housing,Massachusetts,pct,41
2012,economic,spend >30% on housing,Massachusetts,pct,36
2008,economic,spend >30% on housing,Massachusetts,rank,40
2009,economic,spend >30% on housing,Massachusetts,rank,35
2010,economic,spend >30% on housing,Massachusetts,rank,31
2011,economic,spend >30% on housing,Massachusetts,rank,37
2012,economic,spend >30% on housing,Massachusetts,rank,31
2008,economic,children in poverty,Massachusetts,count,169000
2009,economic,children in poverty,Massachusetts,count,186000
2010,economic,children in poverty,Massachusetts,count,201000
2011,economic,children in poverty,Massachusetts,count,212000
2012,economic,children in poverty,Massachusetts,count,213000
2008,economic,children in poverty,Massachusetts,pct,12
2009,economic,children in poverty,Massachusetts,pct,13
2010,economic,children in poverty,Massachusetts,pct,14
2011,economic,children in poverty,Massachusetts,pct,15
2012,economic,children in poverty,Massachusetts,pct,15
2008,economic,children in poverty,Massachusetts,rank,7
2009,economic,children in poverty,Massachusetts,rank,5
2010,economic,children in poverty,Massachusetts,rank,5
2011,economic,children in poverty,Massachusetts,rank,3
2012,economic,children in poverty,Massachusetts,rank,4
2008,economic,parents without full-time employment,Massachusetts,count,372000
2009,economic,parents without full-time employment,Massachusetts,count,405000
2010,economic,parents without full-time employment,Massachusetts,count,424000
2011,economic,parents without full-time employment,Massachusetts,count,421000
2012,economic,parents without full-time employment,Massachusetts,count,414000
2008,economic,parents without full-time employment,Massachusetts,pct,26
2009,economic,parents without full-time employment,Massachusetts,pct,28
2010,economic,parents without full-time employment,Massachusetts,pct,30
2011,economic,parents without full-time employment,Massachusetts,pct,30
2012,economic,parents without full-time employment,Massachusetts,pct,30
2008,economic,parents without full-time employment,Massachusetts,rank,17
2009,economic,parents without full-time employment,Massachusetts,rank,15
2010,economic,parents without full-time employment,Massachusetts,rank,16
2011,economic,parents without full-time employment,Massachusetts,rank,17
2012,economic,parents without full-time employment,Massachusetts,rank,20
2008,economic,teens not attending school,Massachusetts,count,20000
2009,economic,teens not attending school,Massachusetts,count,24000
2010,economic,teens not attending school,Massachusetts,count,20000
2011,economic,teens not attending school,Massachusetts,count,21000
2012,economic,teens not attending school,Massachusetts,count,20000
2008,economic,teens not attending school,Massachusetts,pct,5
2009,economic,teens not attending school,Massachusetts,pct,6
2010,economic,teens not attending school,Massachusetts,pct,5
2011,economic,teens not attending school,Massachusetts,pct,5
2012,economic,teens not attending school,Massachusetts,pct,5
2008,economic,teens not attending school,Massachusetts,rank,5
2009,economic,teens not attending school,Massachusetts,rank,2
2010,economic,teens not attending school,Massachusetts,rank,3
2011,economic,teens not attending school,Massachusetts,rank,2
2012,economic,teens not attending school,Massachusetts,rank,3
2008,economic,spend >30% on housing,Michigan,count,913000
2009,economic,spend >30% on housing,Michigan,count,923000
2010,economic,spend >30% on housing,Michigan,count,906000
2011,economic,spend >30% on housing,Michigan,count,843000
2012,economic,spend >30% on housing,Michigan,count,768000
2008,economic,spend >30% on housing,Michigan,pct,38
2009,economic,spend >30% on housing,Michigan,pct,39
2010,economic,spend >30% on housing,Michigan,pct,39
2011,economic,spend >30% on housing,Michigan,pct,37
2012,economic,spend >30% on housing,Michigan,pct,34
2008,economic,spend >30% on housing,Michigan,rank,31
2009,economic,spend >30% on housing,Michigan,rank,32
2010,economic,spend >30% on housing,Michigan,rank,31
2011,economic,spend >30% on housing,Michigan,rank,27
2012,economic,spend >30% on housing,Michigan,rank,23
2008,economic,children in poverty,Michigan,count,458000
2009,economic,children in poverty,Michigan,count,520000
2010,economic,children in poverty,Michigan,count,539000
